Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"Brian Schoch State Farm Agency","Brian Schoch Agency Inc",Open,10/08/2014,,"5 to 9",1,SC
"Brian Spears Agency, Inc.",,Open,03/01/2013,,"10 to 19",1,SC
"Briar Capital LP",,Terminated,11/05/2012,03/06/2014,"10 to 19",1,TX
"Briarwood Chase Management LLC",,Open,04/15/2019,,"5 to 9",1,NY
"Brickell Financial Services Motor Club Inc  d/b/a Road America",,Open,06/25/2008,,"100 to 499",2,"FL, GA"
"BrickStreet Mutual Insurance",,Open,11/02/2012,,"100 to 499",3,"IL, NC, WV"
"Bridge Health Capital Management LLC",,Open,03/21/2019,,"5 to 9",1,NY
"Bridge IT INC",Brigit,Open,06/07/2018,,"10 to 19",1,NY
"Bridgecrest Acceptance Corporation",,Open,02/26/2020,,"1,000 to 2,499",15,"AZ, CA, FL, GA, IL, MO, NV, OH, TN, TX"
"Bridgefront Capital LLC",,Open,01/21/2020,,"10 to 19",1,TX
"Bridgeline Capital Group, Inc.",,Open,01/15/2008,,"20 to 99",1,CA
"BridgePark Insurance Solutions",,Open,05/29/2018,,"5 to 9",1,TX
"bridgepay network solutions",,Open,11/26/2018,,"20 to 99",1,FL
"Bridgeview Bank Group","Bridgeview Bank Group",Open,08/11/2011,,"100 to 499",1,IL
"Bridgewater Associates, LP","Bridgewater Associates, LP",Open,06/25/2013,,"1,000 to 2,499",6,CT
"Bridgewater Credit Union","Bridgewater Credit Union",Open,01/04/2017,,"20 to 99",1,MA
"Bridgewater Group, Inc.",,Open,06/29/2012,,"20 to 99",9,"FL, GA, NC, NJ, TN"
"Bridgewater Savings Bank",,Open,02/08/2017,,"100 to 499",1,MA
"Bridgeway Capital Management, Inc.",,Open,05/06/2019,,"20 to 99",1,TX
"Bridgeway Capital, Inc.",,Open,08/25/2009,,"10 to 19",1,PA
"Bridgeway Financial, LLC","Clik Mortgage",Open,01/15/2014,,"5 to 9",1,GA
"Bridgeworth Financial, LLC",,Open,08/07/2012,,"20 to 99",1,AL
"BRIDGEWORTH MANAGEMENT COMPANY LLC",,Open,05/07/2018,,"20 to 99",1,AL
"Bridgeworth Management Company, LLC",,Open,03/09/2015,,"20 to 99",2,AL
"Bright Investments LLC",,Open,05/09/2019,,"5 to 9",4,"AL, FL, KY, TN"
"BrightClaim, LLC",,Open,01/21/2015,,"20 to 99",1,GA
"Brighthouse Financial","Brighthouse Financial",Open,05/16/2017,,"1,000 to 2,499",5,"FL, MA, NC, NJ, NY"
"Brighthouse Services","Brighthouse Financial",Open,07/11/2017,,"1,000 to 2,499",5,"FL, MA, NC, NJ, NY"
"Brighthouse Services, LLC","Brighthouse Financial",Open,10/27/2017,,"1,000 to 2,499",5,"FL, MA, NC, NJ, NY"
"Brighton Bank",,Open,07/12/2010,,"20 to 99",1,UT
"Brighton Health Plan Solutions, LLC",,Open,10/10/2018,,"100 to 499",3,"NJ, NY"
"Brighton Health Plan Solutions, LLC",,Open,08/07/2019,,"100 to 499",3,"NJ, NY"
"BrightPlan, LLC",,Open,01/22/2017,,"10 to 19",1,CA
"Brightside Mortgage, LLC",,Open,04/09/2018,,"5 to 9",1,AZ
"BrightSphere Inc",,Open,02/25/2020,,"20 to 99",1,MA
"Brightstar Device Protection","Brightstar Device Protection",Open,02/24/2015,,"100 to 499",1,GA
"Brightstone Insurance Services, LLC",,Terminated,02/23/2012,07/22/2016,"20 to 99",1,GA
"Brightway Insurance",,Open,12/30/2016,,"100 to 499",1,FL
"Brightway Insurance",,Open,03/29/2019,,"100 to 499",1,FL
"Brightwell Payments, Inc.",,Open,09/11/2018,,"20 to 99",1,GA
"Brightwell Payments, Inc.",,Terminated,06/02/2014,10/11/2018,"20 to 99",4,"FL, GA, IL, WI"
"Brightworth LLC",,Open,05/01/2013,,"20 to 99",1,GA
"Brinker Capital Holdings",,Open,11/05/2018,,"100 to 499",1,PA
"Brinker Capital Inc.",,Open,07/17/2009,,"100 to 499",1,PA
"Bristol County Savings Bank",,Open,12/18/2008,,"100 to 499",2,"MA, RI"
"Britton & Koontz Bank, N.A.",,Open,06/19/2009,,"100 to 499",6,"LA, MS"
"Broad Street Capital Partners LLC",,Terminated,07/14/2014,02/12/2020,"10 to 19",1,GA
"Broad Street Capital, LLC",,Open,11/05/2018,,"10 to 19",1,NY
"Broadhaven Capital Partners",,Open,10/10/2018,,"20 to 99",1,NY
"Broadleaf Commerce, LLC",,Open,08/04/2016,,"20 to 99",3,"MN, TX"
"Broadridge Financial Solutions",,Open,07/09/2013,,"1,000 to 2,499",1,NJ
"BroadRiver Asset Management, L.P.",,Open,08/30/2011,,"5 to 9",1,NY
"Broadway Bank",,Terminated,12/17/2009,08/25/2012,"500 to 999",41,TX
"Broadway Bank",,Open,04/24/2012,,"100 to 499",1,TX
"Broadway Faire Stadium 10",,Terminated,10/04/2011,06/20/2014,"20 to 99",1,CA
"Broadway National Bank",,Open,07/24/2014,,"500 to 999",1,TX
"Brock and Associates, LLC","Brock Financial Network",Open,07/27/2010,,"10 to 19",1,UT
"Brock Insurance Agency, Inc.",,Open,07/18/2013,,"20 to 99",1,GA
"Brock Title Company, LLC",,Open,04/24/2018,,"5 to 9",1,AL
"Brogan, Reed, Van Gorder & Associates",,Open,11/05/2019,,"20 to 99",1,MI
"Broker Intermediaries Insurance Services LLC",,Open,09/15/2009,,"5 to 9",1,CA
"Broker Solutions, Inc","New America Funding",Open,06/08/2016,,"1,000 to 2,499",12,"AZ, NC, SC, UT"
"Brokerage Professionals, Inc.","Insurance Wholesaler",Open,02/15/2018,,"5 to 9",1,AZ
"Brokers Alliance",,Terminated,12/16/2009,02/16/2013,"20 to 99",1,AZ
"Brokers Alliance Inc. of Illinois",,Open,06/23/2015,,"20 to 99",1,AZ
"Brokers Alliance, Inc",,Terminated,01/10/2009,04/29/2011,"20 to 99",1,AZ
"Brokers Alliance, Inc.",,Terminated,03/01/2013,05/07/2014,"20 to 99",1,AZ
"Brokers International, Ltd","Brokers International, Ltd",Open,01/09/2020,,"100 to 499",2,"FL, IA"
"Brokers National Life Assurance Company",,Open,04/14/2009,,"20 to 99",1,TX
"Bronx Overall Economic Development Corporation",BOEDC,Open,12/20/2017,,"10 to 19",1,NY
"Brooke Allen State Farm Agency",,Open,08/27/2019,,"5 to 9",1,SC
"Brookfield Infrastructure Group Corporation",,Open,02/21/2020,,"10 to 19",3,"CA, NY, TX"
"Brooklyn Ventures, LLC",SuretyBonds.com,Open,06/09/2016,,"20 to 99",1,MO
"Brookside General Insurance Services, Inc",,Open,01/29/2019,,"10 to 19",1,CA
"Brotherhood Mutual Insurance Company",,Open,09/11/2013,,"100 to 499",1,IN
"Brotherhood Mutual Insurance Company",,Terminated,02/19/2013,11/21/2013,"100 to 499",1,IN
"Brotherhood Mutual Insurance Company","Brotherhood Mutual Insurance Company",Open,01/27/2020,,"500 to 999",1,IN
"Brown & Associates Insurance",,Open,07/27/2017,,"5 to 9",1,OK
"Brown & Brown Inc",,Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown Inc",,Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown Inc",,Terminated,05/02/2011,11/09/2014,"5,000 to 9,999",1,FL
"Brown & Brown Inc","Halcyon Underwriters, Inc",Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown Inc","Peachtree Special Risk Brokers, LLC",Open,05/03/2011,,"20 to 99",8,"FL, GA, LA, NC, NJ"
"Brown & Brown Inc","Public Risk Underwriters of Florida",Open,05/03/2011,,"20 to 99",2,"FL, IL"
"Brown & Brown Inc","USIS, Inc",Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown Inc.",,Open,05/02/2011,,"20 to 99",5,FL
"Brown & Brown of Floirda",,Open,05/02/2011,,"20 to 99",1,FL
"Brown & Brown of Florida",,Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown of Florida",,Open,05/03/2011,,"5 to 9",1,FL
"Brown & Brown of Florida",,Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown of Florida",,Open,05/03/2011,,"20 to 99",1,OH
"Brown & Brown of Florida","Florida Retail",Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown of Florida","Florida Retail Inc",Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown of Florida Inc",,Open,05/03/2011,,"20 to 99",1,FL
"Brown & Brown of Florida Inc",,Open,05/03/2011,,"5 to 9",1,FL
"Brown & Brown of Florida Inc",,Open,05/02/2011,,"10 to 19",1,FL
"Brown & Brown of Florida Inc",,Open,05/02/2011,,"10 to 19",1,FL
"Brown & Brown of Florida Inc.",,Terminated,05/02/2011,06/09/2011,"20 to 99",2,"FL, TX"
"Brown & Brown of Indiana",,Open,05/03/2011,,"20 to 99",3,IN
"Brown & Brown of New Mexico Inc",,Open,05/03/2011,,"20 to 99",1,NM
"Brown & Brown of New Mexico Inc",,Open,05/03/2011,,"10 to 19",2,"CA, NM"
"Brown & Brown, Inc.",,Open,06/27/2014,,"5,000 to 9,999",157,"AL, AZ, CO, FL, GA, IN, LA, MO, NC, OK, SC, TN, UT, VA"
"Brown & Joseph, Ltd.",,Open,12/18/2008,,"20 to 99",2,"IL, IN"
"Brown & Riding Corporate Office",,Open,02/21/2008,,"20 to 99",4,"CA, GA, NV"
"Brown Advisory Incorporated",,Open,01/02/2014,,"100 to 499",6,"DE, MA, MD, NC, NY"
"Brown Advisory Incorporated","Brown Advisory",Open,08/01/2018,,"500 to 999",7,"DE, MA, MD, NC, NY, TX"
"Brown Brothers Harriman & Co.",,Open,05/18/2018,,"5,000 to 9,999",9,"CO, DE, IL, MA, NC, NJ, NY, PA, TN"
"Brown Brothers-Harriman",,Terminated,03/09/2007,06/17/2018,"2,500 to 4,999",8,"CO, DE, IL, MA, NC, NJ, NY, PA"
"brown builders",,Open,03/23/2011,,"10 to 19",1,NJ
"Brown Capital Management",,Open,04/12/2017,,"20 to 99",1,MD
"Brown Gibbons Lang + Company LLC",,Open,10/16/2018,,"20 to 99",1,OH
"Brown& Brown of Florida Inc",,Open,05/02/2011,,"20 to 99",1,FL
"Brownlee Agency, Inc.",,Open,09/19/2011,,"10 to 19",1,GA
"Brownson, Rehmus & Foxworth, Inc.",,Open,02/06/2014,,"20 to 99",1,GA
"Broyhill Investments, Inc.",,Open,11/06/2015,,"20 to 99",1,NC
"BROYLES & MATZ INVESTMENTS LLC","PREUITT INSURANCE SERVICES, INC.",Open,10/05/2018,,"5 to 9",1,MO
"Broyles Claim Decision Support, Inc.",,Open,07/29/2015,,"10 to 19",1,GA
"Bruber Financial Services, Inc.","Persolvent, Eleyo",Open,05/07/2019,,"20 to 99",1,MN
"Bruce Hicks Insurance Agency",,Open,12/29/2014,,"5 to 9",1,TN
"Brumelle Insurance Agency Inc",,Open,08/18/2015,,"5 to 9",1,CO
"Brundage Management Company, Inc",,Open,09/21/2017,,"1,000 to 2,499",319,"AL, AR, AZ, FL, IL, LA, MO, NM, NV, OK, TN, TX"
"BRUNING STATE BANK",,Terminated,11/29/2010,03/15/2020,"20 to 99",1,NE
"Brush Creek, LLC","Brush Creek Partners",Open,01/07/2020,,"10 to 19",1,MO
"Bryan Jackson Insurance and Financial Services, Inc",,Open,05/05/2015,,"5 to 9",1,IN
"Bryant Asset Protection AW Schermerhorn, Inc.",,Open,10/27/2009,,"10 to 19",1,NY
"Bryant Bank",,Open,06/14/2011,,"100 to 499",1,AL
"Bryson & Company",,Open,06/27/2008,,"20 to 99",3,MS
"Bryson Financial",,Open,11/06/2013,,"20 to 99",1,CA
"BSB Leasing, Inc",,Terminated,12/15/2011,03/13/2013,"10 to 19",1,CO
"BT Trading Group LLC",,Terminated,12/12/2013,09/14/2016,"10 to 19",1,NY
"BTC BANK",,Open,02/23/2009,,"20 to 99",1,MO
"BTC Capital Management",,Open,02/01/2019,,"10 to 19",1,AZ
"BTG Pactual Timberland Investment Group LLC",,Open,10/31/2014,,"20 to 99",4,"AL, GA, SC"
"BTS Asset Management",,Open,01/30/2019,,"20 to 99",1,MA
"Buchbinder Tunick & Company LLP",,Open,03/14/2019,,"100 to 499",3,"MD, NJ, NY"
"Buck Insurance Group, Inc.",,Open,06/23/2008,,"5 to 9",2,ID
"Buckeye State Mutual Insurance Company",,Open,01/18/2013,,"20 to 99",1,OH
"Buckhead Capital Management, LLC",,Open,10/25/2019,,"5 to 9",1,GA
"Buckhead Capital Management, LLC",,Open,12/11/2013,,"10 to 19",1,GA
"BUCKHEAD FINANCIAL GROUP",,Open,11/20/2019,,"5 to 9",1,GA
"Buckhead Investment Partners (IFT)",,Terminated,01/10/2016,02/03/2020,"10 to 19",1,GA
"Buckhead Investment Partners, LLC",,Open,11/20/2019,,"20 to 99",2,GA
"Bud Weber Mortgages, LLC","Weber Mortgage",Open,10/10/2019,,"10 to 19",1,AL
"Buddy Berry Insurance Agency",,Open,11/26/2012,,"5 to 9",1,SC
"Budget Brokerage","Budget Brokerae",Open,02/12/2015,,"5 to 9",3,NY
"Budget Insurance Associates, Inc.",,Terminated,10/03/2007,12/29/2010,"10 to 19",1,AZ
"Builders Insurance Group",,Open,05/21/2012,,"100 to 499",1,GA
"Builders Mutual Insurance Company",,Open,12/05/2012,,"100 to 499",1,NC
"Builders Mutual Insurance Company",,Open,05/06/2019,,"100 to 499",1,NC
"Builders Trust of NM",,Open,09/29/2008,,"20 to 99",1,NM
"Building Blox Inc","Family Pawn",Open,04/03/2014,,"20 to 99",1,UT
"Bukaty Companies","Bukaty Companies",Open,03/31/2011,,"100 to 499",1,KS
"Bull City Financial Solutions, Inc.",,Open,05/10/2013,,"20 to 99",1,NC
"Bullard, McLeod & Associates, Inc.",,Open,03/02/2012,,"10 to 19",1,NY
"Bullhead City Insurance Center, Inc",,Open,11/19/2012,,"5 to 9",1,AZ
"Bunch & Associates","Bunch & Associates",Open,02/23/2012,,"100 to 499",1,FL
"Bunge Global Markets, Inc.",,Open,12/04/2008,,"100 to 499",1,NY
"Bunge Latin America, LLC",,Open,05/05/2011,,"20 to 99",1,FL
"Bunge Management Services, Inc.",,Open,04/17/2009,,"20 to 99",1,NY
"Bunker Hill Insurance Company",,Open,04/02/2014,,"20 to 99",1,MA
"BUNN INSURANCE AGENCY INC",,Open,04/18/2018,,"10 to 19",1,VA
"Burchams Meridian Title, LLC","Meridian Title Company",Open,03/28/2019,,"5 to 9",1,MO
"Bureau of Recovery LLC",,Open,09/08/2009,,"20 to 99",1,CA
"BURIC FINANCIAL GROUP",,Open,06/21/2017,,"20 to 99",1,AZ
"Burk, Hall & Co. Wealth Management and Investments",,Open,09/07/2017,,"5 to 9",1,AZ
"BURKE AND HERBERT BANK AND TRUST",,Open,11/24/2008,,"100 to 499",24,VA
"BURKE, BOGART & BROWNELL, INC.",,Open,06/21/2005,,"10 to 19",1,FL
"Burkemper Insurance Agency LLC",,Open,05/03/2013,,"5 to 9",1,MO
"Burkhart Insurance Agency, Inc",,Open,03/30/2012,,"10 to 19",1,IN
"Burkholder Insurance, Inc.",,Open,03/14/2012,,"10 to 19",1,AL
"Burnette Insurance Agency, Inc.",,Open,02/10/2014,,"20 to 99",1,GA
"BURNHAM BENEFITS INSURANCE SERVICES",,Open,01/31/2020,,"100 to 499",7,CA
"Burns & Wilcox Ltd",,Open,04/09/2013,,"500 to 999",1,MI
"Burns & Wilcox Ltd",,Open,11/03/2014,,"1,000 to 2,499",42,"AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, LA, MD, MI, MN, MO, NC, NJ, NM, NV, NY, OH, PA, SC, TN, TX, UT, WI"
"Burt and Scheld Facultative Corporation",,Open,03/25/2020,,"10 to 19",1,FL
"Burton Accounting, PPLC",,Open,08/14/2019,,"10 to 19",1,TX
"Bushwood Capital Group, Inc.",,Open,11/20/2017,,"10 to 19",1,CO
"BUSINESS ALLIANCE FINANCIAL SERVICES LLC","BUSINESS ALLIANCE FINANCIAL SERVICES LLC",Open,03/19/2019,,"20 to 99",1,LA
"Business Alliance Financial Services, LLC",,Open,04/08/2019,,"20 to 99",1,LA
"Business Carolina, Inc.","BCI Lending",Open,03/21/2012,,"10 to 19",1,SC
"Business Development Finance",,Open,08/13/2010,,"20 to 99",1,AZ
"BUSINESS DEVELOPMENT FINANCE CORPORATION",,Terminated,12/31/2007,10/10/2013,"20 to 99",2,AZ
"Business Finance Capital",,Open,02/04/2019,,"10 to 19",1,CA
"Business Financial Services, Inc.",,Open,07/21/2009,,"20 to 99",5,"CA, FL, NY"
"Business First Bank",,Open,09/17/2009,,"100 to 499",1,LA
"Business Generations",,Open,04/02/2013,,"5,000 to 9,999",1,CO
"Business Insurance Center",,Open,04/01/2019,,"10 to 19",1,FL
"Business Insurance Group LLC",,Open,05/01/2012,,"20 to 99",1,AL
"Business Recovery Services","Business Recovery Services",Open,11/05/2016,,"10 to 19",1,AZ
"Business Resource Company",,Open,02/25/2009,,"20 to 99",1,AZ
"Business Risk Partners","Business Risk Partners",Open,12/29/2016,,"20 to 99",1,CT
"Business Risk Partners Inc",,Open,04/26/2018,,"20 to 99",1,CT
"BusinessPlans, Inc.",,Open,10/07/2015,,"20 to 99",1,OH
"BUTLER-LEAVITT INSURANCE AGENCY INC.",,Open,01/02/2020,,"10 to 19",1,CO
"Butler-Leavitt Insurance Agency, Inc.",,Open,07/20/2007,,"5 to 9",1,AZ
"Butts County Board of Commissioners",,Terminated,06/14/2011,07/16/2011,"100 to 499",1,GA
"Butts County Schools",,Open,10/17/2007,,"100 to 499",1,GA
"BV Investment Partners LLC",,Open,01/31/2014,,"20 to 99",1,MA
"By the Numbers Actuarial Consulting, Inc.","By the Numbers Actuarial Consulting, Inc.",Open,01/29/2019,,"5 to 9",1,NJ
"Byars-Wright, Inc.",,Open,04/04/2012,,"20 to 99",1,AL
"Byline Bank",,Open,10/09/2015,,"500 to 999",2,"IL, NC"
"Byline Bank",,Open,02/26/2020,,"500 to 999",30,"IL, IN, WI"
Byrider,"LWJR Investments, LLC",Open,03/20/2020,,"10 to 19",1,MO
"Byte Consulting, Inc.",,Open,06/25/2018,,"5 to 9",1,NY
"C & A Financial llc",,Open,01/23/2008,,"20 to 99",1,AZ
"C & A Mortgage Services of Florence, Inc",,Open,03/27/2013,,"5 to 9",1,SC
"C & J FORMS INC",,Open,09/12/2008,,"20 to 99",1,RI
"C & M First Services, Inc.",,Open,02/22/2016,,"20 to 99",1,NY
"C & R Credit Services",,Open,07/21/2009,,"5 to 9",50,LA
"C and E Financial Group INC","Vintage Lending",Open,07/25/2018,,"20 to 99",1,UT
"C H Reams & Associates Inc","C H Reams & Associates Inc",Open,07/29/2015,,"10 to 19",1,PA
"C J Hester Inc",,Open,07/30/2012,,"10 to 19",1,AL
"C&A BENEFITS GROUP",,Open,07/24/2016,,"10 to 19",1,OH
"C&F Finance Company","C&F Finance Company",Open,09/15/2016,,"100 to 499",12,"AL, FL, GA, IN, MD, MO, NC, NJ, OH, OR, TN, VA"
"C&M Tax and Financial Services","C&M Tax and Financial Services",Open,10/02/2018,,"5 to 9",2,"AL, GA"
"C&S Specialty Underwriters, LLC",,Open,11/12/2019,,"10 to 19",1,GA
"C-ANNE ABLE AGENCY WC INC",,Open,06/02/2009,,"5 to 9",1,SC
"C-Quest Capital LLC",,Open,12/04/2012,,"10 to 19",1,DC
"C-SAM Inc",,Open,07/08/2013,,"20 to 99",1,IL
"C. Basil Grossnickle, Inc.",,Open,06/09/2009,,"5 to 9",1,MD
"C. L. Thaxton Insurance",,Open,05/09/2013,,"5 to 9",1,SC
"C. T. Lowndes & Company",,Open,02/17/2012,,"20 to 99",1,SC
"C. T. Lowndes & Company",,Terminated,02/17/2012,02/23/2012,"20 to 99",1,SC
"C. T. Lowndes & Company",,Terminated,02/17/2012,02/23/2012,"20 to 99",1,SC
"C. T. Lowndes & Company",,Terminated,02/17/2012,02/23/2012,"10 to 19",1,SC
"C. T. Lowndes & Company",,Terminated,02/17/2012,02/23/2012,"5 to 9",1,SC
"C. T. Lowndes & Company",,Terminated,02/17/2012,02/23/2012,"10 to 19",1,SC
"C. U. R. E., LLC",,Open,12/20/2013,,"20 to 99",1,GA
"C.B. DuBose Insurance Agency, Inc of SC",,Open,06/03/2019,,"5 to 9",1,SC
"C.D. Mitchell & Company",,Open,01/04/2016,,"100 to 499",1,TX
"C.M. Capital Corporation","C.M. Capital Corporation",Open,03/16/2020,,"20 to 99",1,CA
"C.O.R.E. Marketing, Inc.",,Terminated,08/12/2010,09/15/2013,"10 to 19",1,AZ
"C.V. Starr & Co., Inc.",,Open,02/22/2016,,"20 to 99",1,NY
"C1 Bank",,Open,06/10/2013,,"100 to 499",1,FL
"C2 Financial Corp.",,Open,04/29/2019,,"100 to 499",1,CA
"C2C Appraisal Services LLC",,Terminated,12/27/2012,02/16/2015,"20 to 99",1,CA
"C3 Brands",,Open,06/12/2019,,"20 to 99",3,"GA, NE, PA"
"CAB Collection Agency, Inc.","CAB Receivables Management Company",Open,12/27/2011,,"20 to 99",1,SC
"CABELAS WORLDS FOREMOST BANK NA",,Open,09/21/2012,,"100 to 499",1,NE
"Cabool State Bank",,Open,04/20/2011,,"20 to 99",1,MO
"Cabrera Capital Markets, LLC",,Terminated,10/15/2010,04/17/2011,"20 to 99",1,IL
"Cabretta Capital Corporation",,Open,11/15/2018,,"5 to 9",2,GA
"Cabrillo Coastal General Insurance Agency, Inc.",,Open,05/15/2012,,"20 to 99",1,FL
"Cabrillo General Insurance Agency, Inc. (CA)",,Terminated,03/19/2009,06/21/2010,"20 to 99",2,"CA, FL"
"Cabrillo General Insurance Agency, Inc. (FL)",,Terminated,03/19/2009,06/08/2012,"10 to 19",1,FL
"Cace, Inc",,Open,08/01/2013,,"10 to 19",1,CA
"Cache Bank & Trust",,Open,02/01/2007,,"20 to 99",4,CO
"Cache Valley Bank",,Open,03/07/2014,,"100 to 499",1,UT
"Cadence Bank",,Open,12/14/2011,,"100 to 499",5,"AL, FL, GA, MS"
"CADENCE BANK N.A.",,Open,12/20/2013,,"1,000 to 2,499",113,"AL, FL, GA, MS, TN, TX"
"Cadence Bank, N.A.",,Open,06/18/2008,,"100 to 499",1,MS
"Cadence Group, Inc",,Open,09/19/2019,,"10 to 19",1,NY
CAFA@DC,CAFA-DC,Open,01/13/2020,,"5 to 9",1,VA
"CAG ACCEPTANCE LLC",,Open,12/21/2007,,"20 to 99",1,AZ
"Cahaba Government Benefit Administrators",,Open,09/01/2009,,"100 to 499",4,"AL, GA, MS, TN"
"Cahaba Government Benefit Administrators, LLC",,Open,11/21/2014,,"500 to 999",4,"AL, GA, MS, TN"
"Cahaba Safeguard Administrators",,Open,09/01/2009,,"20 to 99",6,"AL, IA, IL, MI, NC, WI"
"Cahaba Safeguard Administrators, LLC",,Open,11/09/2014,,"100 to 499",8,"AL, IA, IL, MI, NC, WI"
"CAI Management GP Co.",,Open,01/29/2009,,"10 to 19",1,NY
"Caidan Management Company, LLC",,Terminated,08/25/2008,02/06/2015,"500 to 999",1,MI
"Caine Mitter & Associates Inc",,Open,10/01/2019,,"10 to 19",1,NY
"Caine Mitter & Associates Incorporated",,Terminated,05/14/2009,02/04/2013,"10 to 19",2,"MA, NY"
"Calabasas Stadium 6",,Terminated,09/29/2011,06/20/2014,"20 to 99",1,CA
"Calamos Investments LLC",,Open,12/05/2018,,"100 to 499",4,"CA, FL, IL, NY"
"CalComp Insurance Services",,Open,08/05/2011,,"10 to 19",1,CA
"CalCon Mutual Mortgage, LLC","OneTrust Home Loans",Open,08/30/2017,,"100 to 499",501,CA
"Calcus, Inc. dba US Capital Mortgage",,Open,01/07/2008,,"20 to 99",3,AZ
"Caledonia Financial Services",,Open,09/02/2009,,"100 to 499",1,FL
"Calfund, LLC",,Open,10/18/2019,,"20 to 99",1,CA
"Calhoun County Insurance Center",,Open,05/11/2012,,"5 to 9",2,AL
"Calhoun Thomson & Matza, LLP",,Open,12/08/2015,,"20 to 99",1,TX
"Caliber Funding LLC",,Open,05/07/2010,,"100 to 499",52,"AZ, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Caliber Funding LLC",,Open,02/25/2010,,"100 to 499",1,TX
"Caliber Funding, LLC",,Open,11/26/2008,,"20 to 99",1,AZ
"Caliber Home Loans",,Open,12/16/2016,,"5,000 to 9,999",1,NJ
"CALIBER HOME LOANS",,Open,12/26/2019,,"500 to 999",1,GA
"Caliber Home LOans",,Open,06/14/2016,,"5,000 to 9,999",1,MN
"Caliber Home Loans, Inc.",,Open,12/20/2015,,"2,500 to 4,999",293,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KY, LA, MD, MI, MN, MO, MS, NC, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, WY"
"Caliber Home Loans, Inc.",,Terminated,12/04/2014,03/02/2020,"2,500 to 4,999",160,"AZ, CA, CO, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, NC, NJ, NV, OH, OK, OR, PA, SC, TN, TX, WA, WV"
"Caliber Home Loans, Inc.",,Open,01/22/2013,,"2,500 to 4,999",3,"CA, OK, TX"
"Caliber Services, LLC",,Terminated,12/09/2014,08/15/2015,"20 to 99",1,AZ
"Calidad Latina, Inc.","Calidad Insurance",Open,02/12/2019,,"10 to 19",1,GA
"California Capital Insurance Group",,Open,03/11/2020,,"100 to 499",7,"CA, NV, WA"
"California Casualty Management Company",,Open,09/28/2016,,"500 to 999",4,"AZ, CA, CO, KS"
"California Casualty Management Company",,Open,11/08/2007,,"500 to 999",2,"CA, CO"
"California Casualty Management Company",,Open,10/24/2013,,"100 to 499",6,"AZ, CA, CO, KS"
"California Check Cashing Stores, LLC",,Open,03/31/2010,,"500 to 999",141,"CA, OR, WA"
"California Coast Credit Union",,Open,12/08/2010,,"100 to 499",1,CA
"California Department of Corporations",,Open,01/26/2011,,"100 to 499",1,CA
"California Financial Advisors",,Terminated,10/03/2007,12/17/2010,"10 to 19",1,CA
"California Investment Regional Center, LLC",,Open,11/15/2016,,"5 to 9",1,CA
"CALIFORNIA STATE AUTOMOBILE ASSOCIATIN",,Open,03/09/2007,,"500 to 999",1,CO
"California State Teachers Retirement System",,Open,11/07/2017,,"1,000 to 2,499",1,CA
"California United Bank",,Open,10/21/2009,,"20 to 99",1,CA
"Califronia Smile Design Dental Group",,Open,04/02/2010,,"5 to 9",1,CA
"Calise Enterprises","H&R Block",Terminated,06/03/2015,06/04/2015,"10 to 19",1,AZ
"Calise Enterprises","H&R Block",Open,10/23/2014,,"10 to 19",4,AZ
"Call Federal Credit Union",,Open,05/04/2010,,"20 to 99",1,VA
"Callan Associates Inc.",,Terminated,01/26/2011,10/05/2013,"100 to 499",5,"CA, CO, GA, IL, NJ"
"Calton & Associates Inc",,Terminated,01/16/2015,07/18/2018,"20 to 99",1,FL
"Calumet Bank",,Open,09/03/2015,,"20 to 99",2,GA
"Calvert Research and Management",,Open,11/21/2017,,"20 to 99",55,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"Calvert Social Investment Foundation",,Open,02/20/2015,,"20 to 99",1,MD
"Calvetti Ferguson","Calvetti Ferguson",Open,09/18/2018,,"100 to 499",1,TX
